"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-03","1.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-04","0.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-09",,
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-11","0.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-12","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-13","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-14","6.4",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-15","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-16","9.1",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-17","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-19","3.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-20","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-21","1.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-22","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-23","25.7",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-24","0.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-25","5.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-26","1.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-27","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-28","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-29","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-30","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-01","8.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-02","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-03","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-04","14.7",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-05","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-06","1.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-07","3.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-08","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-09","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-11","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-12","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-13","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-14","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-15","49.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-16","3.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-17","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-18","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-19","8.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-20","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-21","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-22","5.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-23","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-25","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-26","6.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-27","5.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-28","15.2",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-29","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-30","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-01","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-02","3.3",",,N"
