Category: All categories

Week,Arsenal F.C.: (Kenya),Manchester United F.C.: (Kenya)
2018-02-18,21,32
2018-02-25,38,35
2018-03-04,31,42
2018-03-11,29,35
2018-03-18,15,20
2018-03-25,14,21
2018-04-01,25,28
2018-04-08,27,25
2018-04-15,21,32
2018-04-22,36,22
2018-04-29,40,35
2018-05-06,31,24
2018-05-13,31,35
2018-05-20,41,24
2018-05-27,42,31
2018-06-03,39,42
2018-06-10,36,30
2018-06-17,31,22
2018-06-24,28,21
2018-07-01,34,23
2018-07-08,46,28
2018-07-15,41,38
2018-07-22,47,47
2018-07-29,44,48
2018-08-05,47,64
2018-08-12,37,22
2018-08-19,25,28
2018-08-26,19,36
2018-09-02,21,21
2018-09-09,18,20
2018-09-16,18,23
2018-09-23,30,28
2018-09-30,22,32
2018-10-07,25,18
2018-10-14,15,27
2018-10-21,35,27
2018-10-28,34,27
2018-11-04,24,27
2018-11-11,21,23
2018-11-18,15,16
2018-11-25,29,22
2018-12-02,47,32
2018-12-09,25,22
2018-12-16,31,49
2018-12-23,42,41
2018-12-30,37,53
2019-01-06,40,39
2019-01-13,39,47
2019-01-20,46,45
2019-01-27,40,32
2019-02-03,28,36
2019-02-10,20,41
2019-02-17,19,40
2019-02-24,32,46
2019-03-03,23,42
2019-03-10,41,53
2019-03-17,16,23
2019-03-24,15,23
2019-03-31,27,44
2019-04-07,30,42
2019-04-14,32,35
2019-04-21,32,46
2019-04-28,30,30
2019-05-05,30,25
2019-05-12,24,30
2019-05-19,25,32
2019-05-26,45,32
2019-06-02,20,33
2019-06-09,24,38
2019-06-16,24,40
2019-06-23,20,36
2019-06-30,24,41
2019-07-07,28,43
2019-07-14,41,57
2019-07-21,48,68
2019-07-28,59,80
2019-08-04,71,86
2019-08-11,38,48
2019-08-18,36,49
2019-08-25,26,31
2019-09-01,32,19
2019-09-08,19,24
2019-09-15,33,26
2019-09-22,35,32
2019-09-29,42,41
2019-10-06,25,30
2019-10-13,17,23
2019-10-20,37,44
2019-10-27,49,64
2019-11-03,39,26
2019-11-10,21,30
2019-11-17,23,21
2019-11-24,39,43
2019-12-01,38,60
2019-12-08,44,41
2019-12-15,52,44
2019-12-22,39,59
2019-12-29,72,67
2020-01-05,50,63
2020-01-12,37,75
2020-01-19,48,87
2020-01-26,49,100
2020-02-02,26,37
2020-02-09,19,31
2020-02-16,33,61
2020-02-23,40,43
2020-03-01,33,50
2020-03-08,25,64
2020-03-15,15,25
2020-03-22,14,22
2020-03-29,13,21
2020-04-05,11,19
2020-04-12,12,19
2020-04-19,13,19
2020-04-26,14,18
2020-05-03,14,18
2020-05-10,14,19
2020-05-17,13,18
2020-05-24,14,18
2020-05-31,15,19
2020-06-07,17,23
2020-06-14,48,44
2020-06-21,29,44
2020-06-28,40,53
2020-07-05,37,43
2020-07-12,53,64
2020-07-19,39,67
2020-07-26,50,42
2020-08-02,42,47
2020-08-09,41,49
2020-08-16,45,49
2020-08-23,77,41
2020-08-30,52,53
2020-09-06,57,54
2020-09-13,51,66
2020-09-20,53,67
2020-09-27,79,62
2020-10-04,50,80
2020-10-11,37,36
2020-10-18,28,74
2020-10-25,36,38
2020-11-01,40,64
2020-11-08,25,18
2020-11-15,14,24
2020-11-22,31,31
2020-11-29,31,58
2020-12-06,34,52
2020-12-13,49,35
2020-12-20,59,79
2020-12-27,48,66
2021-01-03,45,56
2021-01-10,35,46
2021-01-17,39,64
2021-01-24,61,80
2021-01-31,44,55
2021-02-07,16,39
2021-02-14,30,40
2021-02-21,34,39
2021-02-28,30,41
2021-03-07,21,48
2021-03-14,32,41
2021-03-21,23,26
2021-03-28,22,16
2021-04-04,23,41
2021-04-11,31,45
2021-04-18,28,34
2021-04-25,26,47
2021-05-02,34,62
2021-05-09,36,69
2021-05-16,23,30
2021-05-23,22,57
2021-05-30,21,24
2021-06-06,22,24
2021-06-13,20,22
2021-06-20,26,24
2021-06-27,25,29
2021-07-04,27,30
2021-07-11,33,31
2021-07-18,35,44
2021-07-25,37,44
2021-08-01,43,44
2021-08-08,57,48
2021-08-15,35,27
2021-08-22,75,48
2021-08-29,33,55
2021-09-05,26,41
2021-09-12,22,38
2021-09-19,23,64
2021-09-26,37,53
2021-10-03,14,19
2021-10-10,13,32
2021-10-17,35,40
2021-10-24,31,78
2021-10-31,16,62
2021-11-07,25,27
2021-11-14,28,34
2021-11-21,22,70
2021-11-28,39,90
2021-12-05,31,68
2021-12-12,35,33
2021-12-19,33,25
2021-12-26,45,61
2022-01-02,32,35
2022-01-09,39,36
2022-01-16,38,33
2022-01-23,31,22
2022-01-30,23,30
2022-02-06,21,28
2022-02-13,16,22
2022-02-20,20,40
2022-02-27,12,15
2022-03-06,19,42
2022-03-13,37,28
2022-03-20,11,13
2022-03-27,10,19
2022-04-03,26,22
2022-04-10,16,23
2022-04-17,51,55
2022-04-24,15,31
2022-05-01,25,38
2022-05-08,31,16
2022-05-15,23,17
2022-05-22,20,22
2022-05-29,14,17
2022-06-05,15,18
2022-06-12,20,21
2022-06-19,23,23
2022-06-26,29,28
2022-07-03,30,28
2022-07-10,25,69
2022-07-17,32,51
2022-07-24,38,40
2022-07-31,41,34
2022-08-07,24,48
2022-08-14,25,25
2022-08-21,28,72
2022-08-28,38,49
2022-09-04,45,61
2022-09-11,12,25
2022-09-18,22,14
2022-09-25,25,14
2022-10-02,22,47
2022-10-09,41,37
2022-10-16,34,63
2022-10-23,28,25
2022-10-30,32,38
2022-11-06,47,38
2022-11-13,15,25
2022-11-20,8,9
2022-11-27,7,8
2022-12-04,13,16
2022-12-11,21,9
2022-12-18,14,19
2022-12-25,39,34
2023-01-01,42,41
2023-01-08,39,60
2023-01-15,58,41
2023-01-22,84,73
2023-01-29,43,51
2023-02-05,19,43
